"Intent","Mechanism","Sex","Age Group","Estimated Number","Population","Crude Rate","Age-Adjusted Rate"
"Unintentional (Includes undetermined)","Unknown / Unspecified","Females","55 to 59","14,257","10,439,866","136.56","--"
"Unintentional (Includes undetermined)","Unknown / Unspecified","Females","60 to 64","14,773","10,910,700","135.40","--"
"Unintentional (Includes undetermined)","Unknown / Unspecified","Females","65 to 69","14,693","10,025,468","146.56","--"
"Unintentional (Includes undetermined)","Unknown / Unspecified","Females","70 to 74","11,883","8,324,736","142.74","--"
"Unintentional (Includes undetermined)","Unknown / Unspecified","Females","75 to 79","9,888","6,221,394","158.94","--"
"Unintentional (Includes undetermined)","Unknown / Unspecified","Females","80 to 84","9,491","3,984,204","238.22","--"
"Unintentional (Includes undetermined)","Unknown / Unspecified","Females","85+","15,112","3,911,019","386.40","--"
"Unintentional (Includes undetermined)","Unknown / Unspecified","Females","Unknown","--","--","--","--"
"Unintentional (Includes undetermined)","Unknown / Unspecified","Unknown","10 to 14","--","--","--","--"
"Unintentional (Includes undetermined)","Unknown / Unspecified","Unknown","15 to 19","--","--","--","--"
"Unintentional (Includes undetermined)","Unknown / Unspecified","Unknown","20 to 24","--","--","--","--"
"Unintentional (Includes undetermined)","Unknown / Unspecified","Unknown","30 to 34","--","--","--","--"
"Unintentional (Includes undetermined)","Unknown / Unspecified","Unknown","35 to 39","--","--","--","--"
"Unintentional (Includes undetermined)","Unknown / Unspecified","Unknown","50 to 54","--","--","--","--"
"Unintentional (Includes undetermined)","Unknown / Unspecified","Unknown","60 to 64","--","--","--","--"
"Unintentional (Includes undetermined)","Unknown / Unspecified","Unknown","70 to 74","--","--","--","--"
"Assault - Other","Bite: Dog","Males","20 to 24","--","11,126,811","--","--"
"Assault - Other","Bite: Dog","Males","25 to 29","--","11,175,898","--","--"
"Assault - Other","Bite: Dog","Males","30 to 34","--","11,883,289","--","--"
"Assault - Other","Bite: Dog","Males","35 to 39","--","11,364,080","--","--"
"Assault - Other","Bite: Dog","Males","40 to 44","--","10,998,156","--","--"
"Assault - Other","Bite: Dog","Males","45 to 49","--","9,886,355","--","--"
"Assault - Other","Bite: Dog","Males","70 to 74","--","7,209,820","--","--"
"Assault - Other","Bite: Dog","Females","20 to 24","--","10,684,361","--","--"
"Assault - Other","Bite: Dog","Females","25 to 29","--","10,842,462","--","--"
"Assault - Other","Bite: Dog","Females","30 to 34","--","11,640,867","--","--"
"Assault - Other","Bite: Dog","Females","35 to 39","--","11,142,564","--","--"
"Assault - Other","Bite: Dog","Females","45 to 49","--","9,930,655","--","--"
"Assault - Other","Bite: Other, including sting","Males","0 to 4","--","9,459,399","--","--"
"Assault - Other","Bite: Other, including sting","Males","5 to 9","--","10,304,720","--","--"
"Assault - Other","Bite: Other, including sting","Males","10 to 14","--","10,667,918","--","--"
"Assault - Other","Bite: Other, including sting","Males","15 to 19","--","11,296,635","--","--"
"Assault - Other","Bite: Other, including sting","Males","20 to 24","2,009","11,126,811","18.06","--"
"Assault - Other","Bite: Other, including sting","Males","25 to 29","2,794","11,175,898","25.00","--"
"Assault - Other","Bite: Other, including sting","Males","30 to 34","2,566","11,883,289","21.59","--"
"Assault - Other","Bite: Other, including sting","Males","35 to 39","2,160","11,364,080","19.01","--"
"Assault - Other","Bite: Other, including sting","Males","40 to 44","--","10,998,156","--","--"
"Assault - Other","Bite: Other, including sting","Males","45 to 49","--","9,886,355","--","--"
"Assault - Other","Bite: Other, including sting","Males","50 to 54","--","10,300,754","--","--"
"Assault - Other","Bite: Other, including sting","Males","55 to 59","--","10,166,391","--","--"
"Assault - Other","Bite: Other, including sting","Males","60 to 64","--","10,337,454","--","--"
"Assault - Other","Bite: Other, including sting","Males","65 to 69","--","9,125,260","--","--"
"Assault - Other","Bite: Other, including sting","Males","70 to 74","--","7,209,820","--","--"
"Assault - Other","Bite: Other, including sting","Males","75 to 79","--","5,166,023","--","--"
"Assault - Other","Bite: Other, including sting","Males","80 to 84","--","2,996,476","--","--"
"Assault - Other","Bite: Other, including sting","Females","0 to 4","--","9,051,761","--","--"
"Assault - Other","Bite: Other, including sting","Females","5 to 9","--","9,848,037","--","--"
"Assault - Other","Bite: Other, including sting","Females","10 to 14","--","10,166,646","--","--"
"Assault - Other","Bite: Other, including sting","Females","15 to 19","--","10,778,845","--","--"
"Assault - Other","Bite: Other, including sting","Females","20 to 24","1,644","10,684,361","15.39","--"
"Assault - Other","Bite: Other, including sting","Females","25 to 29","2,628","10,842,462","24.24","--"
"Assault - Other","Bite: Other, including sting","Females","30 to 34","1,842","11,640,867","15.82","--"
"Assault - Other","Bite: Other, including sting","Females","35 to 39","1,272","11,142,564","11.42","--"
"Assault - Other","Bite: Other, including sting","Females","40 to 44","--","10,885,893","--","--"
"Assault - Other","Bite: Other, including sting","Females","45 to 49","--","9,930,655","--","--"
"Assault - Other","Bite: Other, including sting","Females","50 to 54","--","10,376,017","--","--"
"Assault - Other","Bite: Other, including sting","Females","55 to 59","--","10,439,866","--","--"
"Assault - Other","Bite: Other, including sting","Females","60 to 64","--","10,910,700","--","--"
"Assault - Other","Bite: Other, including sting","Females","65 to 69","--","10,025,468","--","--"
"Assault - Other","Bite: Other, including sting","Females","75 to 79","--","6,221,394","--","--"
"Assault - Other","Cut/Pierce","Males","0 to 4","--","9,459,399","--","--"
"Assault - Other","Cut/Pierce","Males","5 to 9","--","10,304,720","--","--"
"Assault - Other","Cut/Pierce","Males","10 to 14","1,326","10,667,918","12.43","--"
"Assault - Other","Cut/Pierce","Males","15 to 19","6,649","11,296,635","58.86","--"
"Assault - Other","Cut/Pierce","Males","20 to 24","14,645","11,126,811","131.62","--"
"Assault - Other","Cut/Pierce","Males","25 to 29","16,979","11,175,898","151.92","--"
"Assault - Other","Cut/Pierce","Males","30 to 34","19,866","11,883,289","167.18","--"
"Assault - Other","Cut/Pierce","Males","35 to 39","15,635","11,364,080","137.59","--"
"Assault - Other","Cut/Pierce","Males","40 to 44","12,427","10,998,156","112.99","--"
"Assault - Other","Cut/Pierce","Males","45 to 49","8,091","9,886,355","81.84","--"
"Assault - Other","Cut/Pierce","Males","50 to 54","5,410","10,300,754","52.52","--"
"Assault - Other","Cut/Pierce","Males","55 to 59","--","10,166,391","--","--"
"Assault - Other","Cut/Pierce","Males","60 to 64","3,200","10,337,454","30.96","--"
"Assault - Other","Cut/Pierce","Males","65 to 69","--","9,125,260","--","--"
"Assault - Other","Cut/Pierce","Males","70 to 74","--","7,209,820","--","--"
"Assault - Other","Cut/Pierce","Males","75 to 79","--","5,166,023","--","--"
"Assault - Other","Cut/Pierce","Males","80 to 84","--","2,996,476","--","--"
"Assault - Other","Cut/Pierce","Males","85+","--","2,283,961","--","--"
"Assault - Other","Cut/Pierce","Males","Unknown","--","--","--","--"
"Assault - Other","Cut/Pierce","Females","0 to 4","--","9,051,761","--","--"
"Assault - Other","Cut/Pierce","Females","5 to 9","--","9,848,037","--","--"
"Assault - Other","Cut/Pierce","Females","10 to 14","--","10,166,646","--","--"
"Assault - Other","Cut/Pierce","Females","15 to 19","3,130","10,778,845","29.04","--"
"Assault - Other","Cut/Pierce","Females","20 to 24","6,406","10,684,361","59.96","--"
"Assault - Other","Cut/Pierce","Females","25 to 29","4,976","10,842,462","45.89","--"
"Assault - Other","Cut/Pierce","Females","30 to 34","4,510","11,640,867","38.74","--"
"Assault - Other","Cut/Pierce","Females","35 to 39","3,202","11,142,564","28.74","--"
"Assault - Other","Cut/Pierce","Females","40 to 44","3,294","10,885,893","30.26","--"
"Assault - Other","Cut/Pierce","Females","45 to 49","1,733","9,930,655","17.45","--"
"Assault - Other","Cut/Pierce","Females","50 to 54","1,296","10,376,017","12.49","--"
"Assault - Other","Cut/Pierce","Females","55 to 59","--","10,439,866","--","--"
"Assault - Other","Cut/Pierce","Females","60 to 64","--","10,910,700","--","--"
"Assault - Other","Cut/Pierce","Females","65 to 69","--","10,025,468","--","--"
"Assault - Other","Cut/Pierce","Females","70 to 74","--","8,324,736","--","--"
"Assault - Other","Cut/Pierce","Females","75 to 79","--","6,221,394","--","--"
"Assault - Other","Cut/Pierce","Females","80 to 84","--","3,984,204","--","--"
"Assault - Other","Cut/Pierce","Females","85+","--","3,911,019","--","--"
"Assault - Other","Cut/Pierce","Females","Unknown","--","--","--","--"
"Assault - Other","Cut/Pierce","Unknown","35 to 39","--","--","--","--"
"Assault - Other","Cut/Pierce","Unknown","Unknown","--","--","--","--"
"Assault - Other","Drowning / Submersion","Males","0 to 4","--","9,459,399","--","--"
"Assault - Other","Fall","Males","0 to 4","--","9,459,399","--","--"
"Assault - Other","Fall","Males","5 to 9","--","10,304,720","--","--"
"Assault - Other","Fall","Males","10 to 14","--","10,667,918","--","--"
"Assault - Other","Fall","Males","15 to 19","--","11,296,635","--","--"
"Assault - Other","Fall","Males","20 to 24","--","11,126,811","--","--"
"Assault - Other","Fall","Males","25 to 29","--","11,175,898","--","--"
"Assault - Other","Fall","Males","30 to 34","1,503","11,883,289","12.65","--"
"Assault - Other","Fall","Males","35 to 39","1,226","11,364,080","10.79","--"
"Assault - Other","Fall","Males","40 to 44","--","10,998,156","--","--"
"Assault - Other","Fall","Males","45 to 49","--","9,886,355","--","--"
"Assault - Other","Fall","Males","50 to 54","--","10,300,754","--","--"
"Assault - Other","Fall","Males","55 to 59","--","10,166,391","--","--"
"Assault - Other","Fall","Males","60 to 64","--","10,337,454","--","--"
"Assault - Other","Fall","Males","65 to 69","--","9,125,260","--","--"
"Assault - Other","Fall","Males","70 to 74","--","7,209,820","--","--"
"Assault - Other","Fall","Males","75 to 79","--","5,166,023","--","--"
"Assault - Other","Fall","Males","80 to 84","--","2,996,476","--","--"
"Assault - Other","Fall","Males","85+","--","2,283,961","--","--"
"Assault - Other","Fall","Females","0 to 4","--","9,051,761","--","--"
"Assault - Other","Fall","Females","5 to 9","--","9,848,037","--","--"
"Assault - Other","Fall","Females","10 to 14","--","10,166,646","--","--"
"Assault - Other","Fall","Females","15 to 19","--","10,778,845","--","--"
"Assault - Other","Fall","Females","20 to 24","--","10,684,361","--","--"
"Assault - Other","Fall","Females","25 to 29","--","10,842,462","--","--"
"Assault - Other","Fall","Females","30 to 34","--","11,640,867","--","--"
"Assault - Other","Fall","Females","35 to 39","--","11,142,564","--","--"
"Assault - Other","Fall","Females","40 to 44","--","10,885,893","--","--"
"Assault - Other","Fall","Females","45 to 49","--","9,930,655","--","--"
"Assault - Other","Fall","Females","50 to 54","--","10,376,017","--","--"
"Assault - Other","Fall","Females","55 to 59","--","10,439,866","--","--"
"Assault - Other","Fall","Females","60 to 64","--","10,910,700","--","--"
"Assault - Other","Fall","Females","65 to 69","--","10,025,468","--","--"
"Assault - Other","Fall","Females","70 to 74","--","8,324,736","--","--"
"Assault - Other","Fall","Females","75 to 79","--","6,221,394","--","--"
"Assault - Other","Fall","Females","80 to 84","--","3,984,204","--","--"
"Assault - Other","Fall","Females","85+","--","3,911,019","--","--"
"Assault - Other","Fall","Females","Unknown","--","--","--","--"
"Assault - Other","Fire / Burn","Males","0 to 4","--","9,459,399","--","--"
"Assault - Other","Fire / Burn","Males","5 to 9","--","10,304,720","--","--"
"Assault - Other","Fire / Burn","Males","10 to 14","--","10,667,918","--","--"
"Assault - Other","Fire / Burn","Males","15 to 19","--","11,296,635","--","--"
"Assault - Other","Fire / Burn","Males","20 to 24","--","11,126,811","--","--"
"Assault - Other","Fire / Burn","Males","25 to 29","--","11,175,898","--","--"
"Assault - Other","Fire / Burn","Males","30 to 34","--","11,883,289","--","--"
"Assault - Other","Fire / Burn","Males","35 to 39","--","11,364,080","--","--"
"Assault - Other","Fire / Burn","Males","40 to 44","--","10,998,156","--","--"
"Assault - Other","Fire / Burn","Males","45 to 49","--","9,886,355","--","--"
"Assault - Other","Fire / Burn","Males","50 to 54","--","10,300,754","--","--"
"Assault - Other","Fire / Burn","Males","55 to 59","--","10,166,391","--","--"
"Assault - Other","Fire / Burn","Males","60 to 64","--","10,337,454","--","--"
"Assault - Other","Fire / Burn","Males","65 to 69","--","9,125,260","--","--"
"Assault - Other","Fire / Burn","Males","70 to 74","--","7,209,820","--","--"
"Assault - Other","Fire / Burn","Males","75 to 79","--","5,166,023","--","--"
"Assault - Other","Fire / Burn","Males","80 to 84","--","2,996,476","--","--"
"Assault - Other","Fire / Burn","Females","0 to 4","--","9,051,761","--","--"
"Assault - Other","Fire / Burn","Females","5 to 9","--","9,848,037","--","--"
"Assault - Other","Fire / Burn","Females","10 to 14","--","10,166,646","--","--"
"Assault - Other","Fire / Burn","Females","15 to 19","--","10,778,845","--","--"
"Assault - Other","Fire / Burn","Females","20 to 24","--","10,684,361","--","--"
"Assault - Other","Fire / Burn","Females","25 to 29","--","10,842,462","--","--"
"Assault - Other","Fire / Burn","Females","30 to 34","--","11,640,867","--","--"
"Assault - Other","Fire / Burn","Females","35 to 39","--","11,142,564","--","--"
"Assault - Other","Fire / Burn","Females","40 to 44","--","10,885,893","--","--"
"Assault - Other","Fire / Burn","Females","45 to 49","--","9,930,655","--","--"
"Assault - Other","Fire / Burn","Females","50 to 54","--","10,376,017","--","--"
"Assault - Other","Fire / Burn","Females","55 to 59","--","10,439,866","--","--"
"Assault - Other","Fire / Burn","Females","60 to 64","--","10,910,700","--","--"
"Assault - Other","Fire / Burn","Females","65 to 69","--","10,025,468","--","--"
"Assault - Other","Fire / Burn","Females","85+","--","3,911,019","--","--"
"Assault - Other","Fire / Burn","Unknown","25 to 29","--","--","--","--"
"Assault - Other","Foreign Body","Males","0 to 4","--","9,459,399","--","--"
"Assault - Other","Foreign Body","Males","5 to 9","--","10,304,720","--","--"
"Assault - Other","Foreign Body","Males","10 to 14","--","10,667,918","--","--"
"Assault - Other","Foreign Body","Males","15 to 19","--","11,296,635","--","--"
"Assault - Other","Foreign Body","Males","20 to 24","--","11,126,811","--","--"
"Assault - Other","Foreign Body","Males","25 to 29","--","11,175,898","--","--"
"Assault - Other","Foreign Body","Males","35 to 39","--","11,364,080","--","--"
"Assault - Other","Foreign Body","Males","45 to 49","--","9,886,355","--","--"
"Assault - Other","Foreign Body","Males","55 to 59","--","10,166,391","--","--"
"Assault - Other","Foreign Body","Females","5 to 9","--","9,848,037","--","--"
"Assault - Other","Foreign Body","Females","20 to 24","--","10,684,361","--","--"
"Assault - Other","Foreign Body","Females","50 to 54","--","10,376,017","--","--"
"Assault - Other","Foreign Body","Females","60 to 64","--","10,910,700","--","--"
"Assault - Other","Foreign Body","Females","65 to 69","--","10,025,468","--","--"
"Assault - Other","BB / Pellet Gun","Males","5 to 9","--","10,304,720","--","--"
"Assault - Other","BB / Pellet Gun","Males","10 to 14","--","10,667,918","--","--"
"Assault - Other","BB / Pellet Gun","Males","15 to 19","--","11,296,635","--","--"
"Assault - Other","BB / Pellet Gun","Males","20 to 24","--","11,126,811","--","--"
"Assault - Other","BB / Pellet Gun","Males","30 to 34","--","11,883,289","--","--"
"Assault - Other","BB / Pellet Gun","Males","35 to 39","--","11,364,080","--","--"
"Assault - Other","BB / Pellet Gun","Males","45 to 49","--","9,886,355","--","--"
"Assault - Other","BB / Pellet Gun","Males","50 to 54","--","10,300,754","--","--"
"Assault - Other","BB / Pellet Gun","Males","55 to 59","--","10,166,391","--","--"
"Assault - Other","BB / Pellet Gun","Males","60 to 64","--","10,337,454","--","--"
"Assault - Other","BB / Pellet Gun","Females","15 to 19","--","10,778,845","--","--"
"Assault - Other","BB / Pellet Gun","Females","25 to 29","--","10,842,462","--","--"
"Assault - Other","BB / Pellet Gun","Females","35 to 39","--","11,142,564","--","--"
"Assault - Other","BB / Pellet Gun","Females","40 to 44","--","10,885,893","--","--"
"Assault - Other","BB / Pellet Gun","Females","45 to 49","--","9,930,655","--","--"
"Assault - Other","BB / Pellet Gun","Females","50 to 54","--","10,376,017","--","--"
"Assault - Other","BB / Pellet Gun","Females","55 to 59","--","10,439,866","--","--"
"Assault - Other","BB / Pellet Gun","Females","70 to 74","--","8,324,736","--","--"
"Assault - Other","Firearmᵅ","Males","0 to 4","--","9,459,399","--","--"
"Assault - Other","Firearmᵅ","Males","5 to 9","--","10,304,720","--","--"
"Assault - Other","Firearmᵅ","Males","10 to 14","--","10,667,918","--","--"
"Assault - Other","Firearmᵅ","Males","15 to 19","17,579","11,296,635","155.61","--"
"Assault - Other","Firearmᵅ","Males","20 to 24","16,506","11,126,811","148.35","--"
"Assault - Other","Firearmᵅ","Males","25 to 29","15,557","11,175,898","139.20","--"
"Assault - Other","Firearmᵅ","Males","30 to 34","14,373","11,883,289","120.95","--"
"Assault - Other","Firearmᵅ","Males","35 to 39","11,482","11,364,080","101.03","--"
"Assault - Other","Firearmᵅ","Males","40 to 44","--","10,998,156","--","--"
"Assault - Other","Firearmᵅ","Males","45 to 49","5,786","9,886,355","58.53","--"
"Assault - Other","Firearmᵅ","Males","50 to 54","--","10,300,754","--","--"
"Assault - Other","Firearmᵅ","Males","55 to 59","--","10,166,391","--","--"
"Assault - Other","Firearmᵅ","Males","60 to 64","--","10,337,454","--","--"
"Assault - Other","Firearmᵅ","Males","65 to 69","--","9,125,260","--","--"
"Assault - Other","Firearmᵅ","Males","70 to 74","--","7,209,820","--","--"
"Assault - Other","Firearmᵅ","Males","75 to 79","--","5,166,023","--","--"
"Assault - Other","Firearmᵅ","Males","80 to 84","--","2,996,476","--","--"
"Assault - Other","Firearmᵅ","Males","Unknown","--","--","--","--"
"Assault - Other","Firearmᵅ","Females","0 to 4","--","9,051,761","--","--"
"Assault - Other","Firearmᵅ","Females","5 to 9","--","9,848,037","--","--"
"Assault - Other","Firearmᵅ","Females","10 to 14","--","10,166,646","--","--"
"Assault - Other","Firearmᵅ","Females","15 to 19","2,767","10,778,845","25.67","--"
"Assault - Other","Firearmᵅ","Females","20 to 24","--","10,684,361","--","--"
"Assault - Other","Firearmᵅ","Females","25 to 29","--","10,842,462","--","--"
"Assault - Other","Firearmᵅ","Females","30 to 34","--","11,640,867","--","--"
"Assault - Other","Firearmᵅ","Females","35 to 39","--","11,142,564","--","--"
"Assault - Other","Firearmᵅ","Females","40 to 44","--","10,885,893","--","--"
"Assault - Other","Firearmᵅ","Females","45 to 49","--","9,930,655","--","--"
"Assault - Other","Firearmᵅ","Females","50 to 54","--","10,376,017","--","--"
"Assault - Other","Firearmᵅ","Females","55 to 59","--","10,439,866","--","--"
"Assault - Other","Firearmᵅ","Females","60 to 64","--","10,910,700","--","--"
"Assault - Other","Firearmᵅ","Females","65 to 69","--","10,025,468","--","--"
"Assault - Other","Firearmᵅ","Females","70 to 74","--","8,324,736","--","--"
"Assault - Other","Firearmᵅ","Females","75 to 79","--","6,221,394","--","--"
"Assault - Other","Firearmᵅ","Females","80 to 84","--","3,984,204","--","--"
"Assault - Other","Firearmᵅ","Females","Unknown","--","--","--","--"
"Assault - Other","Firearmᵅ","Unknown","15 to 19","--","--","--","--"
"Assault - Other","Firearmᵅ","Unknown","20 to 24","--","--","--","--"
"Assault - Other","Firearmᵅ","Unknown","25 to 29","--","--","--","--"
"Assault - Other","Firearmᵅ","Unknown","Unknown","--","--","--","--"
"Assault - Other","Inhalation / Suffocation","Males","0 to 4","--","9,459,399","--","--"
"Assault - Other","Inhalation / Suffocation","Males","5 to 9","--","10,304,720","--","--"
"Assault - Other","Inhalation / Suffocation","Males","10 to 14","--","10,667,918","--","--"
"Assault - Other","Inhalation / Suffocation","Males","15 to 19","--","11,296,635","--","--"
"Assault - Other","Inhalation / Suffocation","Males","20 to 24","--","11,126,811","--","--"
"Assault - Other","Inhalation / Suffocation","Males","25 to 29","--","11,175,898","--","--"
"Assault - Other","Inhalation / Suffocation","Males","30 to 34","--","11,883,289","--","--"
"Assault - Other","Inhalation / Suffocation","Males","35 to 39","--","11,364,080","--","--"
"Assault - Other","Inhalation / Suffocation","Males","40 to 44","--","10,998,156","--","--"
"Assault - Other","Inhalation / Suffocation","Males","45 to 49","--","9,886,355","--","--"
"Assault - Other","Inhalation / Suffocation","Males","50 to 54","--","10,300,754","--","--"
"Assault - Other","Inhalation / Suffocation","Males","55 to 59","--","10,166,391","--","--"
"Assault - Other","Inhalation / Suffocation","Males","65 to 69","--","9,125,260","--","--"
"Assault - Other","Inhalation / Suffocation","Females","0 to 4","--","9,051,761","--","--"
"Assault - Other","Inhalation / Suffocation","Females","5 to 9","--","9,848,037","--","--"
"Assault - Other","Inhalation / Suffocation","Females","10 to 14","--","10,166,646","--","--"
"Assault - Other","Inhalation / Suffocation","Females","15 to 19","--","10,778,845","--","--"
"Assault - Other","Inhalation / Suffocation","Females","20 to 24","1,258","10,684,361","11.77","--"
"Assault - Other","Inhalation / Suffocation","Females","25 to 29","--","10,842,462","--","--"
"Assault - Other","Inhalation / Suffocation","Females","30 to 34","--","11,640,867","--","--"
"Assault - Other","Inhalation / Suffocation","Females","35 to 39","--","11,142,564","--","--"
"Assault - Other","Inhalation / Suffocation","Females","40 to 44","--","10,885,893","--","--"
"Assault - Other","Inhalation / Suffocation","Females","45 to 49","--","9,930,655","--","--"
"Assault - Other","Inhalation / Suffocation","Females","50 to 54","--","10,376,017","--","--"
"Assault - Other","Inhalation / Suffocation","Females","55 to 59","--","10,439,866","--","--"
"Assault - Other","Inhalation / Suffocation","Females","60 to 64","--","10,910,700","--","--"
"Assault - Other","Inhalation / Suffocation","Females","65 to 69","--","10,025,468","--","--"
"Assault - Other","Inhalation / Suffocation","Females","70 to 74","--","8,324,736","--","--"
"Assault - Other","Machinery","Males","20 to 24","--","11,126,811","--","--"
"Assault - Other","Natural / Environmental","Males","0 to 4","--","9,459,399","--","--"
"Assault - Other","Natural / Environmental","Males","30 to 34","--","11,883,289","--","--"
"Assault - Other","Natural / Environmental","Females","40 to 44","--","10,885,893","--","--"
"Assault - Other","Overexertion","Males","0 to 4","--","9,459,399","--","--"
"Assault - Other","Overexertion","Males","5 to 9","--","10,304,720","--","--"
"Assault - Other","Overexertion","Males","10 to 14","--","10,667,918","--","--"
"Assault - Other","Overexertion","Males","15 to 19","--","11,296,635","--","--"
"Assault - Other","Overexertion","Males","20 to 24","--","11,126,811","--","--"
"Assault - Other","Overexertion","Males","25 to 29","--","11,175,898","--","--"
"Assault - Other","Overexertion","Males","30 to 34","--","11,883,289","--","--"
"Assault - Other","Overexertion","Males","35 to 39","--","11,364,080","--","--"
"Assault - Other","Overexertion","Males","40 to 44","--","10,998,156","--","--"
"Assault - Other","Overexertion","Males","45 to 49","--","9,886,355","--","--"
"Assault - Other","Overexertion","Males","50 to 54","--","10,300,754","--","--"
"Assault - Other","Overexertion","Males","55 to 59","--","10,166,391","--","--"
"Assault - Other","Overexertion","Males","60 to 64","--","10,337,454","--","--"
"Assault - Other","Overexertion","Females","0 to 4","--","9,051,761","--","--"
"Assault - Other","Overexertion","Females","5 to 9","--","9,848,037","--","--"
"Assault - Other","Overexertion","Females","10 to 14","--","10,166,646","--","--"
"Assault - Other","Overexertion","Females","15 to 19","--","10,778,845","--","--"
"Assault - Other","Overexertion","Females","20 to 24","--","10,684,361","--","--"
"Assault - Other","Overexertion","Females","25 to 29","--","10,842,462","--","--"
"Assault - Other","Overexertion","Females","30 to 34","--","11,640,867","--","--"
"Assault - Other","Overexertion","Females","35 to 39","--","11,142,564","--","--"
"Assault - Other","Overexertion","Females","40 to 44","--","10,885,893","--","--"
"Assault - Other","Overexertion","Females","45 to 49","--","9,930,655","--","--"
"Assault - Other","Overexertion","Females","50 to 54","--","10,376,017","--","--"
"Assault - Other","Overexertion","Females","55 to 59","--","10,439,866","--","--"
"Assault - Other","Overexertion","Females","60 to 64","--","10,910,700","--","--"
"Assault - Other","Overexertion","Females","65 to 69","--","10,025,468","--","--"
"Assault - Other","Poisoning","Males","0 to 4","--","9,459,399","--","--"
"Assault - Other","Poisoning","Males","10 to 14","--","10,667,918","--","--"
"Assault - Other","Poisoning","Males","15 to 19","--","11,296,635","--","--"
"Assault - Other","Poisoning","Males","20 to 24","--","11,126,811","--","--"
"Assault - Other","Poisoning","Males","30 to 34","--","11,883,289","--","--"
"Assault - Other","Poisoning","Males","35 to 39","--","11,364,080","--","--"
"Assault - Other","Poisoning","Males","40 to 44","--","10,998,156","--","--"
"Assault - Other","Poisoning","Males","45 to 49","--","9,886,355","--","--"
"Assault - Other","Poisoning","Males","50 to 54","--","10,300,754","--","--"
"Assault - Other","Poisoning","Males","55 to 59","--","10,166,391","--","--"
"Assault - Other","Poisoning","Males","60 to 64","--","10,337,454","--","--"
"Assault - Other","Poisoning","Males","65 to 69","--","9,125,260","--","--"
"Assault - Other","Poisoning","Males","85+","--","2,283,961","--","--"
"Assault - Other","Poisoning","Females","0 to 4","--","9,051,761","--","--"
"Assault - Other","Poisoning","Females","10 to 14","--","10,166,646","--","--"
"Assault - Other","Poisoning","Females","15 to 19","--","10,778,845","--","--"
"Assault - Other","Poisoning","Females","20 to 24","--","10,684,361","--","--"
"Assault - Other","Poisoning","Females","25 to 29","--","10,842,462","--","--"
"Assault - Other","Poisoning","Females","30 to 34","--","11,640,867","--","--"
"Assault - Other","Poisoning","Females","35 to 39","--","11,142,564","--","--"
"Assault - Other","Poisoning","Females","40 to 44","--","10,885,893","--","--"
"Assault - Other","Poisoning","Females","45 to 49","--","9,930,655","--","--"
"Assault - Other","Poisoning","Females","50 to 54","--","10,376,017","--","--"
"Assault - Other","Poisoning","Females","55 to 59","--","10,439,866","--","--"
"Assault - Other","Poisoning","Females","60 to 64","--","10,910,700","--","--"
"Assault - Other","Poisoning","Females","65 to 69","--","10,025,468","--","--"
"Assault - Other","Poisoning","Females","Unknown","--","--","--","--"
"Assault - Other","Poisoning","Unknown","25 to 29","--","--","--","--"
"Assault - Other","Struck by /Against","Males","0 to 4","7,128","9,459,399","75.35","--"
"Assault - Other","Struck by /Against","Males","5 to 9","12,210","10,304,720","118.49","--"
"Assault - Other","Struck by /Against","Males","10 to 14","32,757","10,667,918","307.06","--"
"Assault - Other","Struck by /Against","Males","15 to 19","50,139","11,296,635","443.84","--"
"Assault - Other","Struck by /Against","Males","20 to 24","66,902","11,126,811","601.27","--"
"Assault - Other","Struck by /Against","Males","25 to 29","76,068","11,175,898","680.64","--"
"Assault - Other","Struck by /Against","Males","30 to 34","84,189","11,883,289","708.46","--"
"Assault - Other","Struck by /Against","Males","35 to 39","73,488","11,364,080","646.67","--"
"Assault - Other","Struck by /Against","Males","40 to 44","63,877","10,998,156","580.80","--"
"Assault - Other","Struck by /Against","Males","45 to 49","47,267","9,886,355","478.11","--"
"Assault - Other","Struck by /Against","Males","50 to 54","41,939","10,300,754","407.15","--"
"Assault - Other","Struck by /Against","Males","55 to 59","38,963","10,166,391","383.26","--"
"Assault - Other","Struck by /Against","Males","60 to 64","32,338","10,337,454","312.83","--"
"Assault - Other","Struck by /Against","Males","65 to 69","16,606","9,125,260","181.98","--"
"Assault - Other","Struck by /Against","Males","70 to 74","6,793","7,209,820","94.22","--"
"Assault - Other","Struck by /Against","Males","75 to 79","3,488","5,166,023","67.51","--"
"Assault - Other","Struck by /Against","Males","80 to 84","1,725","2,996,476","57.58","--"
"Assault - Other","Struck by /Against","Males","85+","--","2,283,961","--","--"
"Assault - Other","Struck by /Against","Males","Unknown","--","--","--","--"
"Assault - Other","Struck by /Against","Females","0 to 4","4,747","9,051,761","52.44","--"
"Assault - Other","Struck by /Against","Females","5 to 9","5,469","9,848,037","55.53","--"
"Assault - Other","Struck by /Against","Females","10 to 14","20,356","10,166,646","200.22","--"
"Assault - Other","Struck by /Against","Females","15 to 19","45,832","10,778,845","425.20","--"
"Assault - Other","Struck by /Against","Females","20 to 24","60,587","10,684,361","567.06","--"
"Assault - Other","Struck by /Against","Females","25 to 29","60,828","10,842,462","561.01","--"
"Assault - Other","Struck by /Against","Females","30 to 34","61,321","11,640,867","526.77","--"
